date,age,device,count,sum
2014-03-19,35-44,android,4,76.0
2014-03-20,35-44,android,2,0.0
2014-03-21,35-44,android,2,92.0
2014-03-22,35-44,android,2,64.0
2014-03-23,35-44,android,4,63.0
2014-03-24,35-44,android,1,64.0
2014-03-25,35-44,android,3,120.0
2014-03-27,35-44,android,5,155.0
2014-03-28,35-44,android,1,0.0
2014-03-29,35-44,android,1,0.0
2014-03-30,35-44,android,1,0.0
2014-03-31,35-44,android,1,40.0
2014-03-01,35-44,iOS,5,24.0
2014-03-02,35-44,iOS,4,0.0
2014-03-03,35-44,iOS,3,0.0
2014-03-04,35-44,iOS,8,137.0
2014-03-05,35-44,iOS,1,51.0
2014-03-06,35-44,iOS,4,75.0
2014-03-07,35-44,iOS,3,108.0
2014-03-09,35-44,iOS,1,0.0
2014-03-11,35-44,iOS,2,45.0
2014-03-13,35-44,iOS,1,26.0
2014-03-14,35-44,iOS,3,0.0
2014-03-15,35-44,iOS,2,0.0
2014-03-16,35-44,iOS,2,94.0
2014-03-17,35-44,iOS,3,51.0
2014-03-18,35-44,iOS,1,0.0
2014-03-19,35-44,iOS,1,0.0
2014-03-20,35-44,iOS,2,32.0
2014-03-21,35-44,iOS,1,0.0
2014-03-22,35-44,iOS,3,0.0
2014-03-23,35-44,iOS,1,0.0
2014-03-24,35-44,iOS,1,0.0
2014-03-25,35-44,iOS,3,64.0
2014-03-26,35-44,iOS,2,46.0
2014-03-27,35-44,iOS,3,100.0
2014-03-28,35-44,iOS,1,39.0
2014-03-29,35-44,iOS,3,52.0
2014-03-30,35-44,iOS,1,0.0
2014-03-01,45-54,android,16,133.0
2014-03-02,45-54,android,12,73.0
2014-03-03,45-54,android,6,140.0
2014-03-04,45-54,android,8,81.0
2014-03-05,45-54,android,8,35.0
2014-03-06,45-54,android,7,95.0
2014-03-07,45-54,android,6,90.0
2014-03-08,45-54,android,4,38.0
2014-03-09,45-54,android,5,112.0
2014-03-10,45-54,android,4,81.0
2014-03-11,45-54,android,3,24.0
2014-03-12,45-54,android,9,115.0
2014-03-13,45-54,android,6,94.0
2014-03-14,45-54,android,6,52.0
2014-03-15,45-54,android,11,192.0
2014-03-16,45-54,android,5,40.0
2014-03-17,45-54,android,3,69.0
2014-03-18,45-54,android,4,96.0
2014-03-19,45-54,android,1,40.0
2014-03-20,45-54,android,5,99.0
2014-03-21,45-54,android,4,60.0
2014-03-22,45-54,android,3,70.0
2014-03-23,45-54,android,5,67.0
2014-03-24,45-54,android,9,155.0
2014-03-25,45-54,android,4,101.0
2014-03-26,45-54,android,5,161.0
2014-03-27,45-54,android,5,60.0
2014-03-28,45-54,android,4,0.0
2014-03-29,45-54,android,3,58.0
2014-03-30,45-54,android,3,41.0
2014-03-31,45-54,android,3,106.0
2014-03-01,45-54,iOS,7,34.0
2014-03-02,45-54,iOS,3,26.0
2014-03-03,45-54,iOS,10,44.0
2014-03-04,45-54,iOS,7,33.0
2014-03-05,45-54,iOS,4,0.0
2014-03-06,45-54,iOS,3,0.0
2014-03-07,45-54,iOS,6,0.0
2014-03-08,45-54,iOS,3,0.0
2014-03-09,45-54,iOS,7,144.0
2014-03-10,45-54,iOS,7,64.0
2014-03-11,45-54,iOS,4,0.0
2014-03-12,45-54,iOS,3,13.0
2014-03-13,45-54,iOS,3,152.0
2014-03-14,45-54,iOS,3,34.0
2014-03-15,45-54,iOS,3,82.0
2014-03-16,45-54,iOS,7,79.0
2014-03-17,45-54,iOS,5,65.0
2014-03-18,45-54,iOS,5,146.0
2014-03-19,45-54,iOS,3,60.0
2014-03-20,45-54,iOS,3,19.0
2014-03-21,45-54,iOS,4,82.0
2014-03-22,45-54,iOS,5,88.0
2014-03-23,45-54,iOS,1,0.0
2014-03-24,45-54,iOS,1,0.0
2014-03-25,45-54,iOS,3,0.0
2014-03-26,45-54,iOS,9,224.0
2014-03-27,45-54,iOS,5,124.0
2014-03-28,45-54,iOS,3,24.0
2014-03-29,45-54,iOS,6,43.0
2014-03-30,45-54,iOS,3,52.0
2014-03-31,45-54,iOS,1,13.0
2014-03-01,55+,android,9,40.0
2014-03-02,55+,android,15,51.0
2014-03-03,55+,android,5,53.0
2014-03-04,55+,android,12,66.0
2014-03-05,55+,android,2,0.0
2014-03-06,55+,android,6,132.0
2014-03-07,55+,android,11,216.0
2014-03-08,55+,android,5,54.0
2014-03-09,55+,android,3,122.0
2014-03-10,55+,android,1,42.0
2014-03-11,55+,android,7,151.0
2014-03-12,55+,android,6,58.0
2014-03-13,55+,android,7,219.0
2014-03-14,55+,android,3,54.0
2014-03-15,55+,android,7,66.0
2014-03-16,55+,android,3,42.0
2014-03-17,55+,android,2,91.0
2014-03-18,55+,android,6,131.0
2014-03-19,55+,android,2,0.0
2014-03-20,55+,android,2,95.0
2014-03-21,55+,android,2,46.0
2014-03-22,55+,android,4,146.0
2014-03-23,55+,android,3,125.0
2014-03-24,55+,android,2,35.0
2014-03-25,55+,android,2,61.0
2014-03-26,55+,android,4,72.0
2014-03-27,55+,android,2,83.0
2014-03-30,55+,android,4,53.0
2014-03-31,55+,android,1,42.0
2014-03-01,55+,iOS,10,9.0
2014-03-02,55+,iOS,7,83.0
2014-03-03,55+,iOS,5,29.0
2014-03-04,55+,iOS,4,0.0
2014-03-05,55+,iOS,6,82.0
2014-03-06,55+,iOS,1,0.0
2014-03-07,55+,iOS,3,0.0
2014-03-08,55+,iOS,5,106.0
2014-03-09,55+,iOS,7,32.0
2014-03-10,55+,iOS,5,27.0
2014-03-11,55+,iOS,2,131.0
2014-03-12,55+,iOS,2,58.0
2014-03-13,55+,iOS,2,0.0
2014-03-14,55+,iOS,3,0.0
2014-03-15,55+,iOS,6,83.0
2014-03-16,55+,iOS,2,35.0
2014-03-17,55+,iOS,3,0.0
2014-03-18,55+,iOS,5,112.0
2014-03-19,55+,iOS,1,50.0
2014-03-20,55+,iOS,5,141.0
2014-03-21,55+,iOS,3,40.0
2014-03-22,55+,iOS,2,0.0
2014-03-23,55+,iOS,2,49.0
2014-03-24,55+,iOS,1,29.0
2014-03-25,55+,iOS,3,104.0
2014-03-26,55+,iOS,5,164.0
2014-03-27,55+,iOS,2,0.0
2014-03-28,55+,iOS,2,60.0
2014-03-29,55+,iOS,2,0.0
2014-03-30,55+,iOS,3,86.0
